timestamp, temperature.gpu, temperature.memory, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks_event_reasons.active
2026/08/13 13:16:54.160, 29, N/A, 31.90 W, 210 MHz, 405 MHz, 0x0000000000000001
2026/08/13 13:16:55.180, 29, N/A, 31.78 W, 210 MHz, 405 MHz, 0x0000000000000001
2026/08/13 13:16:56.200, 39, N/A, 115.49 W, 1365 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:16:57.206, 42, N/A, 352.76 W, 1260 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:16:58.207, 43, N/A, 350.25 W, 1275 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:16:59.208, 44, N/A, 348.90 W, 1275 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:17:00.210, 45, N/A, 349.40 W, 1275 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:17:01.211, 46, N/A, 349.87 W, 1275 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:17:02.212, 47, N/A, 349.56 W, 1275 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:17:03.213, 48, N/A, 349.43 W, 1275 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:17:04.214, 48, N/A, 349.41 W, 1275 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:17:05.215, 49, N/A, 350.07 W, 1275 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:17:06.217, 50, N/A, 350.34 W, 1275 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:17:07.219, 50, N/A, 349.75 W, 1275 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:17:08.221, 51, N/A, 350.14 W, 1275 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:17:09.223, 52, N/A, 349.84 W, 1275 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:17:10.224, 52, N/A, 350.05 W, 1260 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:17:11.226, 53, N/A, 350.27 W, 1260 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:17:12.227, 53, N/A, 350.07 W, 1260 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:17:13.228, 54, N/A, 349.55 W, 1260 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:17:14.229, 54, N/A, 350.07 W, 1260 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:17:15.230, 55, N/A, 349.81 W, 1260 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:17:16.231, 55, N/A, 349.98 W, 1260 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:17:17.232, 56, N/A, 349.98 W, 1260 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:17:18.234, 56, N/A, 350.20 W, 1260 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:17:19.236, 57, N/A, 350.23 W, 1260 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:17:20.238, 57, N/A, 349.88 W, 1245 MHz, 9000 MHz, 0x0000000000000004
2026/08/13 13:17:21.241, 49, N/A, 301.33 W, 2505 MHz, 9000 MHz, 0x0000000000000004
